id,titulo,fecha,dia_semana,fuente,categoria
1,Putin desoye el ultimátum europeo para una tregua y propone una nueva negociación directa con Kiev,2025-05-11,SUNDAY,El País,positivo
2,Los Reyes rinden homenaje a la memoria de los republicanos españoles deportados en Mauthausen,2025-05-11,SUNDAY,El País,positivo
3,Un papa contra la polarización que ataca la raíz ideológica de Trump,2025-05-11,SUNDAY,El País,positivo
4,"Noche de terror en la ciudad deportiva del Sevilla: la primera plantilla, obligada a dormir allí tras la derrota en Vigo",2025-05-11,SUNDAY,El País,negativo
5,Barcelona - Real Madrid: un clásico para resolver la Liga,2025-05-11,SUNDAY,El País,positivo
6,Zara en la era de Marta Ortega,2025-05-11,SUNDAY,El País,positivo
7,‘Princesa’ cumple 40 años: un clásico que no es solo de Sabina y comenzó en el Festival de Benidorm,2025-05-11,SUNDAY,El País,positivo
8,"Descifrando a Glenn Close, la actriz que escapó de una secta y se enfrentó a los clichés sexistas de Hollywood",2025-05-11,SUNDAY,El País,negativo
9,"María Esteve: “Aprendí arte de mis padres sin darme cuenta, como otros niños aprenden lenguas”",2025-05-11,SUNDAY,El País,positivo
10,Óscar López ve “muy grave” que se publiquen mensajes privados de Sánchez y pide investigar la filtración,2025-05-11,SUNDAY,El País,negativo
11,Los autónomos cambian de sector: del comercio y el transporte pasan a la educación y las comunicaciones,2025-05-11,SUNDAY,El País,positivo
12,"Noche de terror en la ciudad deportiva del Sevilla: la primera plantilla, obligada a dormir allí tras la derrota en Vigo",2025-05-11,SUNDAY,El País,negativo
13,Los Reyes rinden homenaje a la memoria de los republicanos españoles deportados en Mauthausen,2025-05-11,SUNDAY,El País,positivo
14,"Detenido un hombre, sospechoso del asesinato de una mujer de 32 años en Madrid",2025-05-11,SUNDAY,El País,negativo
15,Los Bomberos no prevén extinguir este domingo aunque controlan el incendio de Vilanova,2025-05-11,SUNDAY,El País,negativo
16,Los Reyes en Mauthausen: las imágenes de la conmemoración del 80 aniversario de la liberación del campo nazi,2025-05-11,SUNDAY,El País,negativo
17,"El centelleante regreso de Sinner, a 4.180 revoluciones por minuto",2025-05-11,SUNDAY,El País,positivo
18,Un ratito con Travis Scott en Sant Adrià,2025-05-11,SUNDAY,El País,positivo
19,"Última hora de la guerra de Rusia y Ucrania, en directo | Zelenski insta a Rusia a aceptar el alto el fuego antes de confirmar las conversaciones directas",2025-05-11,SUNDAY,El País,negativo
20,La resurrección de Camps,2025-05-11,SUNDAY,El País,positivo
21,La guerra y la paz,2025-05-11,SUNDAY,El País,positivo
22,Recupera el brillo de tu pelo con este tratamiento superventas de Kérastase,2025-05-11,SUNDAY,El País,negativo
23,El sérum 5 estrellas para el contorno de ojos con cafeína y ácido hialurónico que sí que funciona por menos de 12 euros,2025-05-11,SUNDAY,El País,positivo
24,Así es la colonia de Amazon que está en top ventas y cuesta menos de 10 euros (huele a verano),2025-05-11,SUNDAY,El País,negativo
25,Antídoto contra apagones: existe una solución barata y sencilla para iluminar tu casa,2025-05-11,SUNDAY,El País,positivo
26,Adiós a los mosquitos en casa este verano con estos productos naturales de Amazon,2025-05-11,SUNDAY,El País,negativo
27,Las mejores lámparas de lava,2025-05-11,SUNDAY,El País,negativo
28,Camila Sosa Villada: “Yo muestro cómo es una travesti furiosa”,2025-05-11,SUNDAY,El País,positivo
29,"León, la última jugada de Francisco",2025-05-11,SUNDAY,El País,positivo
30,"Pedro Barreto, cardenal peruano: “En el cielo Francisco está gozando la elección de Prevost”",2025-05-11,SUNDAY,El País,positivo
31,Las flores colombianas coronan el Día de la Madre a pesar de la guerra arancelaria de Trump,2025-05-11,SUNDAY,El País,positivo
32,"Los corridos tumbados, en el ojo de una inédita tormenta política en México: “cooptados por el narco”, pero con la popularidad por los cielos",2025-05-11,SUNDAY,El País,negativo
33,Petro encuentra su bandera: la consulta popular sobre derechos laborales le devuelve oxígeno político para su último año de mandato,2025-05-11,SUNDAY,El País,positivo
34,Economía bipolar,2025-05-11,SUNDAY,El País,positivo
35,La crisis económica se erige en el gran árbitro de las elecciones en Bolivia,2025-05-11,SUNDAY,El País,negativo
36,Brasil devuelve el brillo al palacio que inauguró su arquitectura modernista,2025-05-11,SUNDAY,El País,positivo
37,La banca y el Gobierno de Sheinbaum tienden puentes para sortear al ‘huracán Trump’,2025-05-11,SUNDAY,El País,positivo
38,Una tormenta perfecta sobre Centroamérica ahoga los logros de la pacificación,2025-05-11,SUNDAY,El País,positivo
39,"Ramani Durvasula, psicóloga: “Trump y quienes nos gobiernan tienen personalidades narcisistas”",2025-05-11,SUNDAY,El País,negativo
40,Podcast | ¿Cómo influye el clima en el estado emocional?,2025-05-11,SUNDAY,El País,positivo
41,"Álvaro Campos, el escritor que mira a Chile desde el mostrador de un almacén: “Es la posición privilegiada para quien observa el barrio, los comentarios y la vida cotidiana”",2025-05-11,SUNDAY,El País,positivo
42,En este Oriente del Valle de México no sale el sol,2025-05-11,SUNDAY,El País,negativo
43,Los controles del bienestar de los menores migrantes no acompañados deja a un centenar de niños sin hogar,2025-05-11,SUNDAY,El País,negativo
44,Videoanálisis | Petro aumenta su control sobre la agenda pública,2025-05-11,SUNDAY,El País,negativo
45,"Lorena Kourousias, la psicóloga que busca sanar el trauma de la migración en madres latinas",2025-05-11,SUNDAY,El País,positivo
46,La ciencia involuciona en la Argentina de Milei: se desploma la inversión y disminuyen los investigadores,2025-05-11,SUNDAY,El País,negativo
47,¿Universidades politizadas o caricaturas de revolución?,2025-05-11,SUNDAY,El País,negativo
48,"Prevost en Chiclayo, el obispo gringo que hablaba poco pero hacía mucho",2025-05-11,SUNDAY,El País,positivo
49,49 candidatos para 49 cargos: las elecciones judiciales en las que no se podrá elegir nada,2025-05-11,SUNDAY,El País,negativo
50,Pantuflas bordadas,2025-05-11,SUNDAY,El País,positivo
51,“La esperanza de vida en Parla es de dos años menos que en Pozuelo. La desigualdad es palpable en Madrid”,2025-05-11,SUNDAY,El País,negativo
52,El apagón obliga a España a acelerar en almacenamiento tras años de retraso,2025-05-11,SUNDAY,El País,negativo
53,El apagón agita el gran avispero energético,2025-05-11,SUNDAY,El País,negativo
54,El tren pierde brillo entre incidencias y en plena explosión de la demanda,2025-05-11,SUNDAY,El País,negativo
55,Los aranceles que se autoimponen las economías europeas,2025-05-11,SUNDAY,El País,negativo
56,De los ‘merkelianos’ a la derecha: los cinco enemigos de Friedrich Merz,2025-05-11,SUNDAY,El País,negativo
57,Zara en la era de Marta Ortega,2025-05-11,SUNDAY,El País,positivo
58,La prisión de Alcatraz no escapa a las ocurrencias de Trump,2025-05-11,SUNDAY,El País,negativo
59,León XIV tendrá que ganarse a Roma antes de conquistar el mundo,2025-05-11,SUNDAY,El País,positivo
60,El pasado nazi del que los padres nunca quisieron hablar con sus hijos,2025-05-11,SUNDAY,El País,negativo
61,Lo simbólico importa,2025-05-11,SUNDAY,El País,positivo
62,¿Por qué Prevost?,2025-05-11,SUNDAY,El País,positivo
63,"Fiona Hill, exconsejera de Trump: “El presidente quiere ser un autócrata; se ve como un emperador”",2025-05-11,SUNDAY,El País,positivo
64,Un papa contra la polarización que ataca la raíz ideológica de Trump,2025-05-11,SUNDAY,El País,positivo
65,"‘Rob’ Prevost, el niño del extrarradio de Chicago que se convirtió en el primer papa estadounidense",2025-05-11,SUNDAY,El País,positivo
66,Viva la menopausia,2025-05-11,SUNDAY,El País,positivo
67,"La tregua de Putin, un espejismo en el frente de combate de Ucrania",2025-05-11,SUNDAY,El País,positivo
68,"Despertar la curiosidad por las abejas silvestres, un objetivo del Real Jardín Botánico de Madrid",2025-05-11,SUNDAY,El País,positivo
69,La importancia de educar en la convivencia,2025-05-11,SUNDAY,El País,positivo
70,‘Princesa’ cumple 40 años: un clásico que no es solo de Sabina y comenzó en el Festival de Benidorm,2025-05-11,SUNDAY,El País,positivo
71,León XIV en un mundo cada vez más laico,2025-05-11,SUNDAY,El País,positivo
72,"El auge del urbanismo feminista: “La perspectiva de género tiene que llegar a los sitios, al igual que la fibra óptica”",2025-05-11,SUNDAY,El País,positivo
73,Mauritania intercepta a 30.000 migrantes y desmantela 80 redes de tráfico en cuatro meses,2025-05-11,SUNDAY,El País,positivo
74,Alvise monta un partido a su medida tras perder dos de sus tres escaños en el Parlamento europeo,2025-05-11,SUNDAY,El País,positivo
75,El cultivo de cáñamo industrial desaparece en Cataluña por la inseguridad que rodea las plantaciones,2025-05-11,SUNDAY,El País,positivo
76,"Salarios, guardias y complementos: los incentivos de las comunidades para conquistar a los médicos que terminan la residencia",2025-05-11,SUNDAY,El País,positivo
77,‘Vicios ocultos’: los ricos que no saben serlo,2025-05-11,SUNDAY,El País,positivo
78,Chimamanda Ngozi Adichie como excusa para repensar la gestación por sustitución,2025-05-11,SUNDAY,El País,positivo
79,Narcos eruditos en química y que trabajan con mascarilla: el número de laboratorios de droga sintética se dispara,2025-05-11,SUNDAY,El País,negativo
80,Misión de Estado: ganar Eurovisión,2025-05-11,SUNDAY,El País,positivo
81,"Reducción de jornada: apoyo social, enemigos muy fuertes",2025-05-11,SUNDAY,El País,positivo
82,"María Esteve: “Aprendí arte de mis padres sin darme cuenta, como otros niños aprenden lenguas”",2025-05-11,SUNDAY,El País,positivo
83,La teoría del “caos” tercermundista español que erosiona la democracia,2025-05-11,SUNDAY,El País,positivo
84,La crónica | Todo para el Parlamento pero sin el Parlamento,2025-05-11,SUNDAY,El País,positivo
85,Kash Patel’s disastrous testimony to Congress,2025-05-11,SUNDAY,MSNBC,negativo
86,Netflix’s radical retelling of this 1975 novel still rings true today,2025-05-11,SUNDAY,MSNBC,positivo
87,'We were met with confrontation': N.J. Dems detail their visit to Newark ICE facility,2025-05-11,SUNDAY,MSNBC,negativo
88,"A white woman hurled the N-word at a child, and Trump fans blamed ‘wokeness’",2025-05-11,SUNDAY,MSNBC,negativo
89,"MAGA world helps raise over $600,000 after woman hurls racist slur at a child in Minnesota",2025-05-11,SUNDAY,MSNBC,negativo
90,"Mexico sues Google for following Trump’s ‘Gulf of America’ name change, Sheinbaum says",2025-05-11,SUNDAY,MSNBC,negativo
91,Pope Leo XIV speaks English. That’s bad news for JD Vance.,2025-05-11,SUNDAY,MSNBC,negativo
92,Why MAGA world is throwing a fit over the new pope,2025-05-11,SUNDAY,MSNBC,negativo
93,Trump’s Fox News problem is setting Jeanine Pirro up for failure,2025-05-11,SUNDAY,MSNBC,negativo
94,Trump's plan to implement mass firings meets a huge (but temporary) setback,2025-05-11,SUNDAY,MSNBC,negativo
95,Trump unlocks a new level of financial pain for student debtors,2025-05-11,SUNDAY,MSNBC,negativo
96,"Newark mayor’s arrest inflames tension between local officials, federal immigration agents",2025-05-11,SUNDAY,MSNBC,negativo
97,Kari Lake is carrying out one of Trump’s most nefarious plans,2025-05-11,SUNDAY,MSNBC,negativo
98,"Why did Trump fire Carla Hayden, the celebrated Librarian of Congress?",2025-05-11,SUNDAY,MSNBC,negativo
99,White House’s Stephen Miller: ‘We are actively looking at’ suspending habeas corpus,2025-05-11,SUNDAY,MSNBC,negativo
100,Trump welcomes white South Africans to the U.S. while other immigrants get the boot,2025-05-11,SUNDAY,MSNBC,negativo
101,Trump’s promise about funding for HBCUs fell apart within days,2025-05-11,SUNDAY,MSNBC,negativo
102,Trump's latest tone-deaf talking point asks kids to sacrifice in ways he never would,2025-05-11,SUNDAY,MSNBC,negativo
103,"After a hint of independence, the FBI’s Kash Patel falls back in line with Trump’s agenda",2025-05-11,SUNDAY,MSNBC,negativo
104,A Georgia college student's plight makes a mockery of Trump's immigration claims,2025-05-11,SUNDAY,MSNBC,positivo
105,"Without David Souter, the Federalist Society might’ve remained on the fringe",2025-05-11,SUNDAY,MSNBC,negativo
106,"After judge’s ruling, Tufts University student Rümeysa Öztürk is freed from ICE detention",2025-05-11,SUNDAY,MSNBC,positivo
107,Republicans fume over New York's plan to help defend Letitia James,2025-05-11,SUNDAY,MSNBC,positivo
108,Who wins in a war between India and Pakistan? Likely China,2025-05-11,SUNDAY,MSNBC,negativo
109,How 'No More Souters' led to today's extreme politics,2025-05-11,SUNDAY,MSNBC,negativo
110,South Carolina botched this man’s execution. But that’s not the main problem.,2025-05-11,SUNDAY,MSNBC,negativo
111,Trump's new catchphrase? 'I don't know.',2025-05-11,SUNDAY,MSNBC,negativo
112,U.S.-China trade talks kick off amid tension over Trump’s tariff war,2025-05-11,SUNDAY,MSNBC,negativo
113,'They obviously targeted me': Newark mayor describes chaotic arrest at ICE facility,2025-05-11,SUNDAY,MSNBC,negativo
114,India calls on Pakistan to commit to ceasefire as skirmishes reportedly continue,2025-05-11,SUNDAY,MSNBC,positivo
115,‘That’s a first!’: Pope Leo XIV retweets liberal senator,2025-05-11,SUNDAY,MSNBC,positivo
116,'A ninth-inning ask': Why Trump wants a whole new tax bracket,2025-05-11,SUNDAY,MSNBC,negativo
117,‘Is he meeting the moment?’: Democrats question Hakeem Jeffries’ leadership against Trump,2025-05-11,SUNDAY,MSNBC,positivo
136,Why is everyone suddenly using hypochlorous acid sprays on their face?,2025-05-11,SUNDAY,MSNBC,negativo
137,Is fresh dog food better than kibble? We asked vets,2025-05-11,SUNDAY,MSNBC,negativo
138,Deal of the Day,2025-05-11,SUNDAY,MSNBC,negativo
139,Deal of the Day,2025-05-11,SUNDAY,MSNBC,negativo
140,This MacBook Air is at its lowest price ever right now,2025-05-11,SUNDAY,MSNBC,negativo
141,Wellness,2025-05-11,SUNDAY,MSNBC,negativo
142,Wellness,2025-05-11,SUNDAY,MSNBC,negativo
143,What is perimenopause? Doctors explain,2025-05-11,SUNDAY,MSNBC,negativo
144,The Data Point,2025-05-11,SUNDAY,MSNBC,negativo
145,The Data Point,2025-05-11,SUNDAY,MSNBC,negativo
146,In charts: How long do conclaves last?,2025-05-11,SUNDAY,MSNBC,negativo
147,Ucrania acepta la negociación directa que ofrece Rusia solo si hay un alto el fuego,2025-05-11,SUNDAY,El País,positivo
148,Los Reyes rinden homenaje a la memoria de los republicanos españoles deportados en Mauthausen,2025-05-11,SUNDAY,El País,positivo
149,El papa León XIV pide una “paz justa” en Ucrania y un alto el fuego en Gaza,2025-05-11,SUNDAY,El País,positivo
150,El Barcelona levanta su sexta Liga F consecutiva y décima de su historia,2025-05-11,SUNDAY,El País,positivo
151,Barcelona - Real Madrid: un clásico para resolver la Liga,2025-05-11,SUNDAY,El País,positivo
152,Zara en la era de Marta Ortega,2025-05-11,SUNDAY,El País,positivo
153,‘Princesa’ cumple 40 años: un clásico que no es solo de Sabina y comenzó en el Festival de Benidorm,2025-05-11,SUNDAY,El País,positivo
154,"Descifrando a Glenn Close, la actriz que escapó de una secta y se enfrentó a los clichés sexistas de Hollywood",2025-05-11,SUNDAY,El País,negativo
155,"María Esteve: “Aprendí arte de mis padres sin darme cuenta, como otros niños aprenden lenguas”",2025-05-11,SUNDAY,El País,positivo
156,El papa León XIV pide una “paz justa” en Ucrania y un alto el fuego en Gaza,2025-05-11,SUNDAY,El País,positivo
157,El papa León XIV visita la tumba de Francisco en su primera salida del Vaticano tras su nombramiento,2025-05-11,SUNDAY,El País,positivo
158,Ucrania acepta la negociación directa que ofrece Rusia solo si hay un alto el fuego,2025-05-11,SUNDAY,El País,positivo
159,El Barcelona levanta su sexta Liga F consecutiva y décima de su historia,2025-05-11,SUNDAY,El País,positivo
160,Cientos de personas se concentran en Madrid a favor del proyecto europeo frente a la amenaza trumpista y autoritaria,2025-05-11,SUNDAY,El País,negativo
161,Óscar López ve “muy grave” que se publiquen mensajes privados de Sánchez y pide investigar la filtración,2025-05-11,SUNDAY,El País,negativo
162,Los autónomos cambian de sector: del comercio y el transporte pasan a la educación y las comunicaciones,2025-05-11,SUNDAY,El País,positivo
163,"Noche de terror en la ciudad deportiva del Sevilla: la primera plantilla, obligada a dormir allí tras la derrota en Vigo",2025-05-11,SUNDAY,El País,negativo
164,Los Reyes rinden homenaje a la memoria de los republicanos españoles deportados en Mauthausen,2025-05-11,SUNDAY,El País,positivo
165,"Detenido un hombre, sospechoso del asesinato de una mujer de 32 años en Madrid",2025-05-11,SUNDAY,El País,negativo
166,Los Bomberos no prevén extinguir este domingo aunque controlan el incendio de Vilanova,2025-05-11,SUNDAY,El País,negativo
167,Los Reyes en Mauthausen: las imágenes de la conmemoración del 80 aniversario de la liberación del campo nazi,2025-05-11,SUNDAY,El País,negativo
168,"El centelleante regreso de Sinner, a 4.180 revoluciones por minuto",2025-05-11,SUNDAY,El País,positivo
169,Un ratito con Travis Scott en Sant Adrià,2025-05-11,SUNDAY,El País,positivo
170,"Última hora de la guerra de Rusia y Ucrania, en directo | Turquía confirma su disponibilidad para acoger las negociaciones directas entre Rusia y Ucrania",2025-05-11,SUNDAY,El País,negativo
171,La resurrección de Camps,2025-05-11,SUNDAY,El País,positivo
172,La guerra y la paz,2025-05-11,SUNDAY,El País,positivo
173,Antídoto contra apagones: existe una solución barata y sencilla para iluminar tu casa,2025-05-11,SUNDAY,El País,positivo
174,Así es la colonia de Amazon que está en top ventas y cuesta menos de 10 euros (huele a verano),2025-05-11,SUNDAY,El País,negativo
175,Adiós a los mosquitos en casa este verano con estos productos naturales de Amazon,2025-05-11,SUNDAY,El País,negativo
176,El sérum 5 estrellas para el contorno de ojos con cafeína y ácido hialurónico que sí que funciona por menos de 12 euros,2025-05-11,SUNDAY,El País,positivo
177,Recupera el brillo de tu pelo con este tratamiento superventas de Kérastase,2025-05-11,SUNDAY,El País,negativo
178,Las mejores lámparas de lava,2025-05-11,SUNDAY,El País,negativo
179,Camila Sosa Villada: “Yo muestro cómo es una travesti furiosa”,2025-05-11,SUNDAY,El País,positivo
180,"León, la última jugada de Francisco",2025-05-11,SUNDAY,El País,positivo
181,Podcast | ¿Cómo influye el clima en el estado emocional?,2025-05-11,SUNDAY,El País,positivo
182,"Álvaro Campos, el escritor que mira a Chile desde el mostrador de un almacén: “Es la posición privilegiada para quien observa el barrio, los comentarios y la vida cotidiana”",2025-05-11,SUNDAY,El País,positivo
183,En este Oriente del Valle de México no sale el sol,2025-05-11,SUNDAY,El País,negativo
184,Los controles del bienestar de los menores migrantes no acompañados deja a un centenar de niños sin hogar,2025-05-11,SUNDAY,El País,negativo
185,Economía bipolar,2025-05-11,SUNDAY,El País,positivo
186,Petro encuentra su bandera: la consulta popular sobre derechos laborales le devuelve oxígeno político para su último año de mandato,2025-05-11,SUNDAY,El País,positivo
187,Las flores colombianas coronan el Día de la Madre a pesar de la guerra arancelaria de Trump,2025-05-11,SUNDAY,El País,positivo
188,"Los corridos tumbados, en el ojo de una inédita tormenta política en México: “cooptados por el narco”, pero con la popularidad por los cielos",2025-05-11,SUNDAY,El País,negativo
189,"Lorena Kourousias, la psicóloga que busca sanar el trauma de la migración en madres latinas",2025-05-11,SUNDAY,El País,positivo
190,La ciencia involuciona en la Argentina de Milei: se desploma la inversión y disminuyen los investigadores,2025-05-11,SUNDAY,El País,negativo
191,Videoanálisis | Petro aumenta su control sobre la agenda pública,2025-05-11,SUNDAY,El País,negativo
192,¿Universidades politizadas o caricaturas de revolución?,2025-05-11,SUNDAY,El País,negativo
193,"Prevost en Chiclayo, el obispo gringo que hablaba poco pero hacía mucho",2025-05-11,SUNDAY,El País,positivo
194,"Pedro Barreto, cardenal peruano: “En el cielo Francisco está gozando la elección de Prevost”",2025-05-11,SUNDAY,El País,positivo
195,La crisis económica se erige en el gran árbitro de las elecciones en Bolivia,2025-05-11,SUNDAY,El País,negativo
196,Brasil devuelve el brillo al palacio que inauguró su arquitectura modernista,2025-05-11,SUNDAY,El País,positivo
197,La banca y el Gobierno de Sheinbaum tienden puentes para sortear al ‘huracán Trump’,2025-05-11,SUNDAY,El País,positivo
198,Una tormenta perfecta sobre Centroamérica ahoga los logros de la pacificación,2025-05-11,SUNDAY,El País,positivo
199,"Ramani Durvasula, psicóloga: “Trump y quienes nos gobiernan tienen personalidades narcisistas”",2025-05-11,SUNDAY,El País,negativo
200,49 candidatos para 49 cargos: las elecciones judiciales en las que no se podrá elegir nada,2025-05-11,SUNDAY,El País,negativo
201,Pantuflas bordadas,2025-05-11,SUNDAY,El País,positivo
202,El apagón obliga a España a acelerar en almacenamiento tras años de retraso,2025-05-11,SUNDAY,El País,negativo
203,El apagón agita el gran avispero energético,2025-05-11,SUNDAY,El País,negativo
204,El tren pierde brillo entre incidencias y en plena explosión de la demanda,2025-05-11,SUNDAY,El País,negativo
205,“La esperanza de vida en Parla es de dos años menos que en Pozuelo. La desigualdad es palpable en Madrid”,2025-05-11,SUNDAY,El País,negativo
206,Los aranceles que se autoimponen las economías europeas,2025-05-11,SUNDAY,El País,negativo
207,"‘Rob’ Prevost, el niño del extrarradio de Chicago que se convirtió en el primer papa estadounidense",2025-05-11,SUNDAY,El País,positivo
208,León XIV tendrá que ganarse a Roma antes de conquistar el mundo,2025-05-11,SUNDAY,El País,positivo
209,El pasado nazi del que los padres nunca quisieron hablar con sus hijos,2025-05-11,SUNDAY,El País,negativo
210,Viva la menopausia,2025-05-11,SUNDAY,El País,positivo
211,De los ‘merkelianos’ a la derecha: los cinco enemigos de Friedrich Merz,2025-05-11,SUNDAY,El País,negativo
212,Zara en la era de Marta Ortega,2025-05-11,SUNDAY,El País,positivo
213,La prisión de Alcatraz no escapa a las ocurrencias de Trump,2025-05-11,SUNDAY,El País,negativo
214,Lo simbólico importa,2025-05-11,SUNDAY,El País,positivo
215,¿Por qué Prevost?,2025-05-11,SUNDAY,El País,positivo
216,"Fiona Hill, exconsejera de Trump: “El presidente quiere ser un autócrata; se ve como un emperador”",2025-05-11,SUNDAY,El País,positivo
217,Un papa contra la polarización que ataca la raíz ideológica de Trump,2025-05-11,SUNDAY,El País,positivo
218,"La tregua de Putin, un espejismo en el frente de combate de Ucrania",2025-05-11,SUNDAY,El País,positivo
219,"Despertar la curiosidad por las abejas silvestres, un objetivo del Real Jardín Botánico de Madrid",2025-05-11,SUNDAY,El País,positivo
220,La importancia de educar en la convivencia,2025-05-11,SUNDAY,El País,positivo
221,"Reducción de jornada: apoyo social, enemigos muy fuertes",2025-05-11,SUNDAY,El País,positivo
222,"María Esteve: “Aprendí arte de mis padres sin darme cuenta, como otros niños aprenden lenguas”",2025-05-11,SUNDAY,El País,positivo
223,La teoría del “caos” tercermundista español que erosiona la democracia,2025-05-11,SUNDAY,El País,positivo
224,La crónica | Todo para el Parlamento pero sin el Parlamento,2025-05-11,SUNDAY,El País,positivo
225,Cinco recetas para defender un periodismo en el punto de mira,2025-05-11,SUNDAY,El País,positivo
226,La artista que aprendió a dibujar cómics para entender los traumas de su familia y ha hecho historia en los Pulitzer,2025-05-11,SUNDAY,El País,positivo
227,El cultivo de cáñamo industrial desaparece en Cataluña por la inseguridad que rodea las plantaciones,2025-05-11,SUNDAY,El País,positivo
228,"Salarios, guardias y complementos: los incentivos de las comunidades para conquistar a los médicos que terminan la residencia",2025-05-11,SUNDAY,El País,positivo
229,El PP valenciano espera un gesto de Feijóo ante la debilidad de Mazón y el desafío de Camps,2025-05-11,SUNDAY,El País,positivo
230,León XIV en un mundo cada vez más laico,2025-05-11,SUNDAY,El País,positivo
251,Ucrania acepta la negociación directa que ofrece Rusia solo si hay un alto el fuego,2025-05-11,SUNDAY,El País,positivo
